Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.123684211,2.48E-05,0.001948377,0,0,0,1,0,1
0,0,0.144736842,0.020165526,0.001962378,1,0,1,1,0.00231696,1
0.6,0,0.076315789,0.00039009,1.37E-04,1,0,0,1,0.000926784,1
0.8,0,0.282894737,0.00985336,0.062073232,1,0,1,1,0,1
0,0,0.064473684,0.003990991,2.82E-05,0,0,1,1,0.000926784,1
0.1,0,0.184210526,0.021351351,2.34E-04,1,0,0,1,0,1
0,0,0.003947368,0,1.08E-07,0,0,0,1,0,1
0,0,0.05,0.002009009,1.90E-04,0,0,1,1,0.001853568,1
0.828571429,0,0.127631579,0.017567568,9.01E-05,0,0,1,1,0.000463392,1
0,1,0.226315789,0.06009009,8.32E-04,1,1,1,1,0.014828545,1
0.333333333,0,0.109210526,0.017387387,1.90E-04,1,0,0,1,0.000926784,1
0,0,0.003947368,0,4.72E-07,0,0,0,1,0,1
0,0,0.022368421,0.009459459,7.54E-05,0,0,1,1,0.017608897,1
0,0,0.144736842,0.021621622,5.35E-04,1,1,1,1,0.007877665,1
1,0,0.077631579,0.001414414,8.09E-04,0,0,1,1,0.000926784,1
0.333333333,0,0.057894737,0.003027027,3.41E-05,0,0,0,1,0,1
0.2,0,0.098684211,0.002567568,1.98E-04,1,0,1,1,0.00231696,1
0,0,0.467105263,0.067859223,0.002895175,0,0,0,1,0,1
1,0,0.027631579,0.002855856,3.68E-06,0,0,1,1,0,1
0.294117647,0,0.025,0.001810811,5.63E-05,0,0,1,1,0.000463392,1
0.714285714,0,0.032894737,0.006369369,4.55E-05,1,0,0,1,0.003243744,1
0.818181818,0,0.082894737,0.003815826,0.001194348,0,0,0,1,0.008804449,1
0,0,0.017105263,0.004468468,3.63E-05,0,0,1,1,0.001390176,1
0,0,0.444736842,0.106252927,0.00187809,1,0,0,1,0.018535681,1
0,0,0.003947368,0.00018018,3.03E-07,0,0,0,1,0.001853568,1
1,0,0.025,0.000747748,1.75E-05,0,0,1,1,0,1
0,0,0.038157895,0.008396396,1.27E-04,1,0,1,1,0.012048193,1
0,0,0.002631579,0,4.05E-07,0,0,0,1,0.005560704,1
0,0,0.148684211,0.012702703,9.02E-04,1,1,1,1,0.03197405,1
0,0,0.1,0.002918919,6.79E-04,1,0,1,1,0.004170528,1
1,1,0.661842105,0.468326267,0.002374576,1,1,1,1,1,1
0,0,0.002631579,0.000148649,2.01E-06,0,0,0,1,0,1
0,0,0.069736842,0.000100901,8.78E-04,0,0,0,1,0.000926784,1
1,0,0.194736842,0.005055538,0.002856049,0,0,0,1,0.000463392,1
0,0,0.161842105,0.043405712,0.00352837,0,0,1,1,0,1
0,0,0.034210526,0.002477477,4.35E-05,0,0,1,1,0,1
0.75,0,0.065789474,0.001351351,1.58E-04,1,1,1,1,0.000463392,1
0.333333333,0,0.021052632,0.00017027,1.04E-05,0,0,1,1,0.001853568,1
0,0,0.010526316,3.45E-05,7.33E-06,0,0,1,1,0,1
0,0,0.018421053,0.000336036,1.44E-05,0,0,1,1,0,1
0,0,0.002631579,0.000338739,1.87E-06,0,0,0,1,0.00231696,1
0.5,1,0.018421053,0.000163964,3.48E-05,0,0,1,1,0,1
0,0,0.022368421,0.004378378,1.97E-05,0,0,1,1,0,1
0,0,0.021052632,4.68E-05,2.67E-05,0,0,1,1,0.000463392,1
0,0,0.052631579,0.002306306,1.15E-04,0,0,0,1,0,1
0,0,0.035526316,0.000803267,0.001756707,0,0,0,1,0.002780352,1
0,0,0.105263158,0.015675676,5.46E-04,0,0,1,1,0.000926784,1
0,0,0.086842105,0.004738739,4.69E-04,0,0,0,1,0.001853568,1
1,1,0.147368421,0.013423423,5.62E-04,1,1,1,1,0.001853568,1
0,0,0.076315789,0.012342342,2.86E-04,0,0,0,1,0.014828545,1
0.15942029,0,0.043421053,0.00118018,1.86E-04,1,0,1,1,0.000463392,1
0.2,0,0.069736842,0.007063063,9.62E-04,1,0,1,1,0.011584801,1
0,0,0.011842105,0.000348649,1.74E-05,0,0,1,1,0.000463392,1
0,1,0.046052632,0.00263964,1.18E-04,1,0,0,1,0.000926784,1
0,1,0.115789474,0.005540541,2.05E-04,1,0,0,1,0.004170528,1
0,0,0.032894737,0.001081081,1.93E-04,1,0,0,1,0.010194625,1
0.125,0,0.006578947,1.48E-05,7.62E-07,0,0,1,1,0.001390176,1
0.03030303,0,0.005263158,0.002864865,5.72E-05,0,0,0,1,0.002780352,1
0.845070423,0,0.192105263,0.046875023,0.001941844,0,1,1,1,0,1
0,0,0.206578947,0.030973333,0.001426407,0,0,0,1,0,1
0,0,0.075,0.009712447,0.001132227,0,0,1,1,0.003707136,1
0,0,0.046052632,0.000109009,3.37E-04,0,0,1,1,0.00231696,1
0,0,0.021052632,0.001054054,8.86E-06,0,0,0,1,0.00231696,1
0,0,0.080263158,0.001540541,1.38E-04,1,0,0,1,0,1
0.25,0,0.084210526,0.002153153,1.36E-04,0,0,1,1,0.000463392,1
0,0,0.017105263,7.03E-06,1.98E-05,0,0,1,1,0.001853568,1
0,0,0.060526316,0.008468468,1.15E-04,0,0,1,1,0,1
0,0,0.002631579,0,7.04E-06,1,0,0,1,0.000463392,1
0,0,0.072368421,0.002297297,8.02E-04,1,0,1,1,0.005097312,1
1,0,0.273684211,0.001318015,0.065681556,0,0,1,1,0,1
0,0,0.122368421,0.023153153,5.74E-04,0,0,0,1,0.008804449,1
0,0,0.032894737,0.000646847,2.84E-04,0,0,1,1,0.000926784,1
0,0,0.090789474,0.010630631,4.11E-04,1,0,1,1,0.006024096,1
0,0,0.042105263,0.004378378,1.35E-04,0,0,1,1,0.001390176,1
0,0,0.022368421,0.000308108,4.76E-04,0,0,1,1,0.001390176,1
0.5,0,0.048684211,0.001333333,3.65E-04,0,0,0,1,0.00463392,1
0.181818182,0,0.111842105,0.001081081,9.09E-04,0,0,1,1,0.000463392,1
1,0,0.422368421,0.095038709,0.001734695,1,0,1,1,0.443466172,1
0,0,0.572368421,0.400941828,0.004381999,0,0,0,1,0.000926784,1
0,0,0.034210526,0.000330631,1.48E-04,0,0,0,1,0.000926784,1
0,0,0.326315789,0.001182189,0.004536575,0,0,0,1,0,1
0,0,0.372368421,0.048986742,0.072407205,0,0,1,1,0.00231696,1
0,0,0.146052632,0.011711712,1.89E-04,0,0,1,1,0.000463392,1
0.5,0,0.031578947,0.001333333,6.45E-05,0,0,1,1,0.003707136,1
0,0,0.010526316,0.00050991,1.15E-06,1,0,1,1,0.000463392,1
0,0,0.171052632,0.049627447,0.002000751,1,0,1,1,0.043095459,1
0.333333333,0,0.076315789,0.003387387,1.25E-04,0,0,0,1,0.008341057,1
0,0,0.001315789,0,7.06E-05,0,0,1,1,0.000463392,1
0.625,0,0.159210526,0.003108108,2.28E-04,0,0,1,1,0.00231696,1
